example_id,sentence,source_text,source_norm,source_type,relation,target_text,target_norm,target_type
0,Alpha-amylase 1A copy number variants and the association with memory performance and Alzheimer's dementia .,Alpha-amylase 1A,alpha-amylase 1a,gene,associated_with,memory performance,memory performance,other
0,Alpha-amylase 1A copy number variants and the association with memory performance and Alzheimer's dementia .,Alpha-amylase 1A,alpha-amylase 1a,gene,associated_with,Alzheimer's dementia,alzheimer's dementia,disease
1,"BACKGROUND : Previous studies have shown that copy number variation ( CNV ) in the alpha ( alpha ) - amylase gene ( AMY1A ) is associated with body mass index , insulin resistance , and blood glucose levels , factors also shown to increase the risk of Alzheimer's dementia ( AD ) .",alpha ( alpha ) - amylase gene,alpha ( alpha ) - amylase gene,gene,associated_with,body mass index,body mass index,other
1,"BACKGROUND : Previous studies have shown that copy number variation ( CNV ) in the alpha ( alpha ) - amylase gene ( AMY1A ) is associated with body mass index , insulin resistance , and blood glucose levels , factors also shown to increase the risk of Alzheimer's dementia ( AD ) .",AMY1A,amy1a,gene,associated_with,body mass index,body mass index,other
1,"BACKGROUND : Previous studies have shown that copy number variation ( CNV ) in the alpha ( alpha ) - amylase gene ( AMY1A ) is associated with body mass index , insulin resistance , and blood glucose levels , factors also shown to increase the risk of Alzheimer's dementia ( AD ) .",AMY1A,amy1a,gene,abbreviation_for,alpha ( alpha ) - amylase gene,alpha ( alpha ) - amylase gene,gene
1,"BACKGROUND : Previous studies have shown that copy number variation ( CNV ) in the alpha ( alpha ) - amylase gene ( AMY1A ) is associated with body mass index , insulin resistance , and blood glucose levels , factors also shown to increase the risk of Alzheimer's dementia ( AD ) .",insulin resistance,insulin resistance,disease,risk_factor_of,Alzheimer's dementia,alzheimer's dementia,disease
1,"BACKGROUND : Previous studies have shown that copy number variation ( CNV ) in the alpha ( alpha ) - amylase gene ( AMY1A ) is associated with body mass index , insulin resistance , and blood glucose levels , factors also shown to increase the risk of Alzheimer's dementia ( AD ) .",glucose,glucose,drug,risk_factor_of,Alzheimer's dementia,alzheimer's dementia,disease
1,"BACKGROUND : Previous studies have shown that copy number variation ( CNV ) in the alpha ( alpha ) - amylase gene ( AMY1A ) is associated with body mass index , insulin resistance , and blood glucose levels , factors also shown to increase the risk of Alzheimer's dementia ( AD ) .",AD,ad,disease,abbreviation_for,Alzheimer's dementia,alzheimer's dementia,disease
4,"METHODS AND MATERIALS : The association between AMY1A copy number and development of AD was analyzed in 5422 individuals ( mean age at baseline 57 . 5 + - 5 . 9 , females 58 . 2 % ) from the Malmo diet and cancer study genotyped for AMY1A copy number , whereof 247 where diagnosed with AD during a mean follow-up of 20 years .",AMY1A,amy1a,disease,associated_with,AD,ad,disease
5,"Associations between AMY1A copy number and cognitive performance where analyzed in 791 individuals ( mean age at baseline 54 . 7 + - 6 . 3 , females 63 % ) , who performed Montreal Cognitive Assessment ( MoCA ) test .",MoCA,moca,method,abbreviation_for,Montreal Cognitive Assessment,montreal cognitive assessment,method
9,"A tendency towards a positive correlation between brain alpha-amylase activity and AMY1A copy number was found , and females showed higher brain alpha-amylase activity compared to males .",alpha-amylase,alpha-amylase,gene,associated_with,AMY1A,amy1a,gene
11,The study further suggests that very high AMY1A copy number is associated with a decreased hazard ratio of AD and we speculate that this effect is mediated via a beneficial impact of AMY1A copy number on episodic memory performance .,AMY1A,amy1a,gene,associated_with,decreased hazard ratio of AD,decreased hazard ratio of ad,other
13,Inhibition of beta-secretase ( BACE1 ) is currently regarded as the leading treatment strategy for Alzheimer's disease .,beta-secretase,beta-secretase,gene,treatment_for,Alzheimer's disease,alzheimer's disease,disease
13,Inhibition of beta-secretase ( BACE1 ) is currently regarded as the leading treatment strategy for Alzheimer's disease .,BACE1,bace1,gene,abbreviation_for,beta-secretase,beta-secretase,gene
19,Alzheimer's disease ( AD ) is the most common form of age-associated dementia .,Alzheimer's disease,alzheimer's disease,disease,hyponym_of,dementia,dementia,disease
19,Alzheimer's disease ( AD ) is the most common form of age-associated dementia .,AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
20,"Several studies have predicted that AD is caused by the production and deposition of the beta-amyloid peptide ( Abeta ) in the brain , which is one of pathologic hallmarks of AD .",deposition of the beta-amyloid peptide,deposition of the beta-amyloid peptide,other,risk_factor_of,AD,ad,disease
20,"Several studies have predicted that AD is caused by the production and deposition of the beta-amyloid peptide ( Abeta ) in the brain , which is one of pathologic hallmarks of AD .",deposition of the beta-amyloid peptide,deposition of the beta-amyloid peptide,other,characteristic_of,AD,ad,disease
20,"Several studies have predicted that AD is caused by the production and deposition of the beta-amyloid peptide ( Abeta ) in the brain , which is one of pathologic hallmarks of AD .",Abeta,abeta,gene,abbreviation_for,beta-amyloid peptide,beta-amyloid peptide,gene
20,"Several studies have predicted that AD is caused by the production and deposition of the beta-amyloid peptide ( Abeta ) in the brain , which is one of pathologic hallmarks of AD .",Abeta,abeta,gene,abbreviation_for,deposition of the beta-amyloid peptide,deposition of the beta-amyloid peptide,other
22,"We previously developed Multimer Detection System-Oligomeric Amyloid-beta ( MDS-OAbeta ) , a technique for measuring Abeta oligomerization in plasma to diagnose AD .",MDS-OAbeta,mds-oabeta,gene,abbreviation_for,Amyloid-beta,amyloid-beta,gene
24,"To determine Abeta oligomer sizes detectable by MDS , size exclusion chromatography ( SEC ) was first performed on incubated samples of synthetic Abeta42 peptides .",SEC,sec,method,abbreviation_for,size exclusion chromatography,size exclusion chromatography,method
30,The APOE epsilon4 allele increases the risk for sporadic Alzheimer's disease and modifies brain activation patterns of numerous cognitive domains .,APOE epsilon4 allele,apoe epsilon4 allele,gene,risk_factor_of,sporadic Alzheimer's disease,sporadic alzheimer's disease,disease
36,"Coconut oil has recently attracted considerable attention as a potential Alzheimer's disease therapy because it contains large amounts of medium-chain fatty acids ( MCFAs ) and its consumption is thought to stimulate hepatic ketogenesis , supplying an alternative energy source for brains with impaired glucose metabolism .",Coconut oil,coconut oil,drug,treatment_for,Alzheimer's disease,alzheimer's disease,disease
36,"Coconut oil has recently attracted considerable attention as a potential Alzheimer's disease therapy because it contains large amounts of medium-chain fatty acids ( MCFAs ) and its consumption is thought to stimulate hepatic ketogenesis , supplying an alternative energy source for brains with impaired glucose metabolism .",MCFAs,mcfas,drug,abbreviation_for,medium-chain fatty acids,medium-chain fatty acids,drug
54,Evaluation of Apolipoprotein E Fragmentation as a Biomarker for Alzheimer's Disease .,Apolipoprotein E,apolipoprotein e,gene,help_diagnose,Alzheimer's Disease,alzheimer's disease,disease
55,Recent studies have supported a role for the proteolytic cleavage of apolipoprotein E4 ( APOE4 ) as a potential mechanism for the enhanced dementia risk associated with Alzheimer's disease .,APOE4,apoe4,gene,abbreviation_for,apolipoprotein E4,apolipoprotein e4,gene
55,Recent studies have supported a role for the proteolytic cleavage of apolipoprotein E4 ( APOE4 ) as a potential mechanism for the enhanced dementia risk associated with Alzheimer's disease .,enhanced dementia,enhanced dementia,disease,associated_with,Alzheimer's disease,alzheimer's disease,disease
56,"To determine whether APOE4 fragmentation is correlated with AD , ELISA assays were performed with cerebral spinal fluid ( CSF ) and plasma samples utilizing an antibody that specifically detects a 17 kDa amino-terminal fragment ( p17 ) of APOE ( nApoECF antibody ) .",APOE4,apoe4,gene,associated_with,AD,ad,disease
56,"To determine whether APOE4 fragmentation is correlated with AD , ELISA assays were performed with cerebral spinal fluid ( CSF ) and plasma samples utilizing an antibody that specifically detects a 17 kDa amino-terminal fragment ( p17 ) of APOE ( nApoECF antibody ) .",CSF,csf,other,abbreviation_for,cerebral spinal fluid,cerebral spinal fluid,other
62,Neuroimaging and neuropsychology are employed to investigate the pathological features and clinical characteristics of Alzheimer's disease ( AD ) in order to find a method for the precise treatment .,AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
63,Diffusion tensor imaging ( DTI ) provides a non-intrusive examination of cranial nerve diseases which can help us observe the microstructure of neuron fibers .,DTI,dti,method,abbreviation_for,Diffusion tensor imaging,diffusion tensor imaging,method
71,OBJECTIVE : Investigators conducting Alzheimer's disease ( AD ) research need to consider participants ' capacity to consent .,AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
83,The Golgi apparatus ( GA ) is a highly dynamic organelle involved in the processing and sorting of cellular proteins .,GA,ga,other,abbreviation_for,Golgi apparatus,golgi apparatus,other
84,"In Alzheimer's disease ( AD ) , it has been shown to decrease in size and become fragmented in neocortical and hippocampal neuronal subpopulations .",AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
86,"However , the involvement of other pathological factors associated with the course of the disease , such as the extracellular accumulation of amyloid-beta ( Abeta ) aggregates , cannot be ruled out , since both pathologies are present in AD patients .",Abeta,abeta,gene,abbreviation_for,amyloid-beta,amyloid-beta,gene
89,"Since in this mouse model there are no Abeta aggregates typical of AD , the present findings support the idea that the progressive accumulation of phospho-tau is associated with structural alterations of the GA , and that these changes may occur in the absence of Abeta pathology .",phospho-tau,phospho-tau,gene,associated_with,GA,ga,other
91,"BACKGROUND : Cathepsin D is a lysosomal enzyme that is found in all organisms acting in protein turnover , in humans it is present in some types of carcinomas , and it has a high activity in Parkinson's disease and a low activity in Alzheimer disease .",Cathepsin D,cathepsin d,gene,hyponym_of,lysosomal enzyme,lysosomal enzyme,gene
118,OBJECTIVE : To describe the home hospice patients at HCA Hospice Care ( HHC ) Singapore from 2000 to 2010 .,HHC,hhc,other,abbreviation_for,HCA Hospice Care,hca hospice care,other
121,"RESULTS : Patients had multiple admissions into HHC home hospice as identified in the Electronic Medical Records ( EMR ) between January 1 , 2000 , and December 31 , 2010 , but we only selected patient's first admission into HHC home hospice for this analysis .",EMR,emr,other,abbreviation_for,Electronic Medical Records,electronic medical records,other
131,"Alzheimer's disease ( AD ) is considered to be the most common cause of dementia and is an incurable , progressive neurodegenerative disorder .",Alzheimer's disease,alzheimer's disease,disease,risk_factor_of,dementia,dementia,disease
131,"Alzheimer's disease ( AD ) is considered to be the most common cause of dementia and is an incurable , progressive neurodegenerative disorder .",Alzheimer's disease,alzheimer's disease,disease,hyponym_of,neurodegenerative disorder,neurodegenerative disorder,disease
131,"Alzheimer's disease ( AD ) is considered to be the most common cause of dementia and is an incurable , progressive neurodegenerative disorder .",AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
136,"Ongoing clinical trials with Abeta antibodies ( solanezumab , gantenerumab , crenezumab ) seem to be promising , while vaccines against the tau protein ( AADvac1 and ACI-35 ) are now in early-stage trials .",solanezumab,solanezumab,drug,hyponym_of,Abeta,abeta,gene
136,"Ongoing clinical trials with Abeta antibodies ( solanezumab , gantenerumab , crenezumab ) seem to be promising , while vaccines against the tau protein ( AADvac1 and ACI-35 ) are now in early-stage trials .",gantenerumab,gantenerumab,drug,hyponym_of,Abeta,abeta,gene
136,"Ongoing clinical trials with Abeta antibodies ( solanezumab , gantenerumab , crenezumab ) seem to be promising , while vaccines against the tau protein ( AADvac1 and ACI-35 ) are now in early-stage trials .",crenezumab,crenezumab,drug,hyponym_of,Abeta,abeta,gene
136,"Ongoing clinical trials with Abeta antibodies ( solanezumab , gantenerumab , crenezumab ) seem to be promising , while vaccines against the tau protein ( AADvac1 and ACI-35 ) are now in early-stage trials .",AADvac1,aadvac1,gene,hyponym_of,tau protein,tau protein,gene
